Mar 24 15:00:51 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 24 15:00:51 ubuntu dstat.sh[65379]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 24 15:00:51 ubuntu dstat.sh[65379]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 24 15:11:00 ubuntu dstat.sh[65379]: 24-03 15:11:00| 24   4  71   0   0|5092M  241M  185M 2296M|4907B 1511B|  16k  644k|3.00  29.0 |2602  2392 |0.74 1.30 1.04|2.0   0 3.0|   0     0 |           | 18  291    0   28    0
Mar 24 15:11:01 ubuntu dstat.sh[65379]: 24-03 15:11:01| 27   7  64   0   0|5133M  200M  185M 2297M|4563B 1621B|   0   560k|   0  23.0 |5073  7062 |0.74 1.30 1.04|1.0   0 1.0|   0     0 |           | 18  294    0   28    0
Mar 24 15:11:02 ubuntu dstat.sh[65379]: 24-03 15:11:02| 27   5  65   1   0|5135M  198M  185M 2297M|4669B 1616B|  16k 1628k|1.00   143 |7234    10k|0.74 1.30 1.04|2.0   0 6.0|   0     0 |           | 18  297    0   20    0
Mar 24 15:11:03 ubuntu dstat.sh[65379]: 24-03 15:11:03| 29   4  64   1   0|5134M  197M  185M 2298M|4754B 1718B| 898k 1439k|57.1   210 |4740  6046 |0.84 1.31 1.04|2.0   0 1.0|   0     0 |           | 18  303    0   22    1
Mar 24 15:11:04 ubuntu dstat.sh[65379]: 24-03 15:11:04|  6   1  90   1   0|5132M  199M  185M 2298M|2943B  485B|   0  3908k|   0   237 |2720  3700 |0.84 1.31 1.04|  0   0 2.0|   0     0 |           | 18  302    0   22    0
Mar 24 15:11:05 ubuntu dstat.sh[65379]: 24-03 15:11:05| 22   5  69   1   0|5128M  203M  185M 2299M|4368B 1512B| 112k 1836k|7.00   258 |6482  9526 |0.84 1.31 1.04|1.0   0   0|   0     0 |           | 18  305    0   22    0
Mar 24 15:11:06 ubuntu dstat.sh[65379]: 24-03 15:11:06| 26   5  66   2   0|5123M  207M  185M 2299M|4252B 1568B|  16k 3120k|1.00   280 |7994    12k|0.84 1.31 1.04|1.0   0   0|   0     0 |           | 18  305    0   23    0
Mar 24 15:11:07 ubuntu dstat.sh[65379]: 24-03 15:11:07| 12   3  83   1   0|5096M  234M  185M 2299M|4116B 1296B|  16k 6896k|1.00   820 |4420  6180 |0.84 1.31 1.04|  0   0   0|   0     0 |           | 18  304    0   25    0
Mar 24 15:11:08 ubuntu dstat.sh[65379]: 24-03 15:11:08| 15   3  77   1   0|5095M  235M  185M 2299M|4356B 1296B|  16k 3176k|1.00   270 |5108  7506 |0.78 1.29 1.04|3.0   0   0|   0     0 |           | 18  305    0   25    0
Mar 24 15:11:09 ubuntu dstat.sh[65379]: 24-03 15:11:09| 25   6  65   2   0|5096M  234M  185M 2299M|4175B 1296B|  16k 2803k|1.00   326 |8267    12k|0.78 1.29 1.04|1.0   0   0|   0     0 |           | 18  305    0   25    0
Mar 24 15:11:10 ubuntu dstat.sh[65379]: 24-03 15:11:10| 13   3  79   1   0|5097M  233M  185M 2300M|4652B 1240B|   0  8688k|   0   606 |5391  8765 |0.78 1.29 1.04|2.0   0   0|   0     0 |           | 18  304    0   26    0
Mar 24 15:11:11 ubuntu dstat.sh[65379]: 24-03 15:11:11| 14   3  80   1   0|5097M  233M  185M 2300M|4336B 1190B|   0  1491k|   0   171 |4314  6237 |0.78 1.29 1.04|2.0   0   0|   0     0 |           | 18  305    0   26    0
Mar 24 15:11:12 ubuntu dstat.sh[65379]: 24-03 15:11:12| 24   6  65   2   0|5097M  232M  185M 2300M|3379B  849B|   0  2814k|   0   297 |7588    11k|0.78 1.29 1.04|2.0   0   0|   0     0 |           | 18  305    0   26    0
Mar 24 15:11:13 ubuntu dstat.sh[65379]: 24-03 15:11:13| 25   6  67   1   0|5098M  231M  185M 2300M|4145B 1179B|   0  1857k|   0   213 |7787    11k|0.79 1.28 1.04|2.0   0   0|   0     0 |           | 18  305    0   26    0
Mar 24 15:11:14 ubuntu dstat.sh[65379]: 24-03 15:11:14| 25   6  67   1   0|5099M  230M  185M 2300M|3490B  486B|   0  1977k|   0   212 |7597    11k|0.79 1.28 1.04|1.0   0 1.0|   0     0 |           | 18  305    0   26    0
Mar 24 15:11:15 ubuntu dstat.sh[65379]: 24-03 15:11:15| 14   2  81   1   0|5100M  229M  185M 2300M|5950B 1618B|   0  1578k|   0   129 |4502  6519 |0.79 1.28 1.04|2.0   0 1.0|   0     0 |           | 18  307    0   27    0
Mar 24 15:11:16 ubuntu dstat.sh[65379]: 24-03 15:11:16| 13   4  82   1   0|5100M  229M  185M 2301M|5709B 1623B|  32k 1282k|2.00   154 |4782  7147 |0.79 1.28 1.04|2.0 1.0 2.0|   0     0 |           | 18  310    0   27    0
Mar 24 15:11:17 ubuntu dstat.sh[65379]: 24-03 15:11:17| 28   7  60   2   0|5132M  196M  185M 2303M|5059B 1458B|   0  7473k|   0   656 |9264    16k|0.79 1.28 1.04|3.0   0  34|   0     0 |           | 18  310    0   30    0
Mar 24 15:11:18 ubuntu dstat.sh[65379]: 24-03 15:11:18| 25   5  66   1   0|5104M  224M  185M 2301M|5255B 1612B|  64k 2162k|3.98   194 |7520    16k|0.81 1.28 1.04|2.0   0 2.0|   0     0 |           | 18  311    0   33    0
Mar 24 15:11:19 ubuntu dstat.sh[65379]: 24-03 15:11:19|  6   2  89   1   0|5104M  223M  185M 2302M|5014B 1463B| 225k 1304k|12.0   122 |2639  3944 |0.81 1.28 1.04|  0   0   0|   0     0 |           | 18  309    0   32    0
Mar 24 15:11:20 ubuntu dstat.sh[65379]: 24-03 15:11:20| 13   2  82   1   0|5106M  222M  185M 2302M|5000B 1621B| 100k 1857k|6.00   201 |3724  5593 |0.81 1.28 1.04|  0   0   0|   0     0 |           | 18  309    0   32    0
Mar 24 15:11:21 ubuntu dstat.sh[65379]: 24-03 15:11:21| 11   3  85   1   0|5106M  221M  185M 2302M|4523B 1460B|   0  1698k|   0   183 |3438  4893 |0.81 1.28 1.04|5.0   0   0|   0     0 |           | 18  310    0   32    0
Mar 24 15:11:22 ubuntu dstat.sh[65379]: 24-03 15:11:22|  3   1  94   0   0|5105M  222M  185M 2302M|5383B 1618B|   0  6336k|   0   787 |1903  2562 |0.81 1.28 1.04|  0   0 2.0|   0     0 |           | 18  309    0   33    0
Mar 24 15:11:23 ubuntu dstat.sh[65379]: 24-03 15:11:23| 25   6  66   2   0|5106M  222M  185M 2302M|4881B 1600B|   0  2615k|   0   340 |7766    11k|0.83 1.27 1.04|1.0   0   0|   0     0 |           | 18  310    0   30    0
Mar 24 15:11:24 ubuntu dstat.sh[65379]: 24-03 15:11:24| 24   6  66   2   0|5106M  221M  185M 2302M|4414B 1513B|   0    10M|   0   692 |8501    14k|0.83 1.27 1.04|1.0   0 1.0|   0     0 |           | 18  309    0   31    0
Mar 24 15:11:25 ubuntu dstat.sh[65379]: 24-03 15:11:25| 17   3  75   1   0|5107M  219M  185M 2303M|3336B  591B|   0  3412k|   0   269 |6062  9102 |0.83 1.27 1.04|  0   0   0|   0     0 |           | 18  309    0   33    0
Mar 24 15:11:26 ubuntu dstat.sh[65379]: 24-03 15:11:26|  9   2  87   1   0|5107M  219M  185M 2303M|4370B 1518B|   0  1241k|   0   132 |3626  5418 |0.83 1.27 1.04|2.0   0   0|   0     0 |           | 18  310    0   33    0
Mar 24 15:11:27 ubuntu dstat.sh[65379]: 24-03 15:11:27| 25   6  65   2   0|5107M  219M  185M 2303M|3050B  648B|   0  2966k|   0   395 |8386    13k|0.83 1.27 1.04|2.0   0   0|   0     0 |           | 18  310    0   33    0
Mar 24 15:11:28 ubuntu dstat.sh[65379]: 24-03 15:11:28| 24   5  66   2   0|5108M  218M  185M 2303M|4396B 1457B|   0  7093k|   0   482 |8024    12k|0.84 1.27 1.04|1.0   0   0|   0     0 |           | 18  311    0   34    0
Mar 24 15:11:29 ubuntu dstat.sh[65379]: 24-03 15:11:29| 26   5  66   2   0|5108M  217M  185M 2303M|4863B 1621B|   0  2930k|   0   410 |9120    14k|0.84 1.27 1.04|2.0   0   0|   0     0 |           | 18  310    0   35    0
Mar 24 15:11:30 ubuntu dstat.sh[65379]: 24-03 15:11:30| 25   4  67   1   0|5109M  217M  185M 2304M|6252B 1619B|   0  3089k|   0   317 |8393    13k|0.84 1.27 1.04|2.0   0   0|   0     0 |           | 18  309    0   36    0
Mar 24 15:11:31 ubuntu dstat.sh[65379]: 24-03 15:11:31| 24   6  66   2   0|5110M  216M  185M 2304M|6180B 1620B|   0  8604k|   0   466 |8524    13k|0.84 1.27 1.04|1.0   0   0|   0     0 |           | 18  310    0   36    0
Mar 24 15:11:32 ubuntu dstat.sh[65379]: 24-03 15:11:32| 24   5  66   2   0|5110M  215M  185M 2304M|5617B 1513B|  32k 4620k|1.00   477 |8293    13k|0.84 1.27 1.04|2.0   0   0|   0     0 |           | 18  310    0   36    0
Mar 24 15:11:33 ubuntu dstat.sh[65379]: 24-03 15:11:33| 17   5  75   1   0|5111M  214M  185M 2305M|5354B 1562B|   0  7387k|   0   514 |6890    11k|0.93 1.28 1.04|  0   0   0|   0     0 |           | 18  309    0   36    0
Mar 24 15:11:34 ubuntu dstat.sh[65379]: 24-03 15:11:34|  8   2  87   1   0|5111M  214M  185M 2305M|5012B 1512B|   0  2236k|   0   194 |3377  5055 |0.93 1.28 1.04|  0   0 1.0|   0     0 |           | 18  309    0   36    0
Mar 24 15:11:35 ubuntu dstat.sh[65379]: 24-03 15:11:35|  3   1  95   0   0|5111M  214M  185M 2305M|5413B 1569B|   0   421k|   0  18.0 |1386  1938 |0.93 1.28 1.04|1.0   0   0|   0     0 |           | 18  310    0   36    0
Mar 24 15:11:36 ubuntu dstat.sh[65379]: 24-03 15:11:36| 25   5  65   2   0|5111M  213M  185M 2305M|5188B 1511B|   0  3349k|   0   457 |9193    15k|0.93 1.28 1.04|1.0   0   0|   0     0 |           | 18  310    0   36    0
Mar 24 15:11:37 ubuntu dstat.sh[65379]: 24-03 15:11:37| 25   5  68   2   0|5112M  212M  185M 2305M|4371B 1568B|  32k 2887k|1.00   273 |8259    12k|0.93 1.28 1.04|1.0   0   0|   0     0 |           | 18  310    0   39    0
Mar 24 15:11:38 ubuntu dstat.sh[65379]: 24-03 15:11:38|  8   2  87   1   0|5112M  212M  185M 2305M|3755B 1079B|  16k   14M|1.00  1366 |4526  7039 |0.86 1.26 1.03|  0   0   0|   0     0 |           | 18  309    0   40    0
Mar 24 15:11:39 ubuntu dstat.sh[65379]: 24-03 15:11:39| 18   4  75   1   0|5112M  212M  185M 2306M|4569B 1455B|   0  2176k|   0   230 |5687  8206 |0.86 1.26 1.03|3.0 1.0   0|   0     0 |           | 18  310    0   41    0
Mar 24 15:11:40 ubuntu dstat.sh[65379]: 24-03 15:11:40| 25   5  66   2   0|5112M  212M  185M 2306M|4404B 1612B|   0  3517k|   0   443 |8499    13k|0.86 1.26 1.03|1.0   0   0|   0     0 |           | 18  310    0   41    0
Mar 24 15:11:41 ubuntu dstat.sh[65379]: 24-03 15:11:41| 21   5  71   1   0|5112M  211M  185M 2306M|4581B 1508B|   0  2821k|   0   268 |7204    11k|0.86 1.26 1.03|  0   0   0|   0     0 |           | 18  309    0   42    0
Mar 24 15:11:42 ubuntu dstat.sh[65379]: 24-03 15:11:42|  5   1  92   0   0|5112M  211M  185M 2306M|4251B 1568B|   0  1538k|   0   102 |2002  2835 |0.86 1.26 1.03|2.0   0   0|   0     0 |           | 18  310    0   42    0
Mar 24 15:11:43 ubuntu dstat.sh[65379]: 24-03 15:11:43| 25   6  65   3   0|5112M  211M  185M 2306M|4810B 1624B|   0  3804k|   0   483 |8967    14k|0.87 1.25 1.03|1.0   0   0|   0     0 |           | 18  310    0   43    0
Mar 24 15:11:44 ubuntu dstat.sh[65379]: 24-03 15:11:44| 26   5  66   2   0|5113M  209M  185M 2307M|4611B 1617B|   0  7190k|   0   507 |8298    13k|0.87 1.25 1.03|3.0   0 1.0|   0     0 |           | 18  310    0   46    0
Mar 24 15:11:45 ubuntu dstat.sh[65379]: 24-03 15:11:45| 13   3  80   1   0|5107M  216M  185M 2307M|5404B 1616B|  32k 3492k|1.00   324 |5090  7912 |0.87 1.25 1.03|  0   0   0|   0     0 |           | 18  309    0   47    0
Mar 24 15:11:46 ubuntu dstat.sh[65379]: 24-03 15:11:46| 13   3  82   1   0|5107M  216M  185M 2307M|4605B 1516B|   0  2303k|   0   227 |4736  6982 |0.87 1.25 1.03|1.0   0   0|   0     0 |           | 18  310    0   48    0
Mar 24 15:11:47 ubuntu dstat.sh[65379]: 24-03 15:11:47| 26   6  64   2   0|5105M  217M  185M 2307M|4794B 1568B|   0  3417k|   0   436 |8639    13k|0.87 1.25 1.03|1.0   0   0|   0     0 |           | 18  310    0   49    0
Mar 24 15:11:48 ubuntu dstat.sh[65379]: 24-03 15:11:48| 24   5  68   1   0|5105M  217M  185M 2308M|4467B 1510B|  96k 3364k|4.99   279 |7839    12k|0.88 1.25 1.03|1.0   0   0|   0     0 |           | 18  310    0   49    0
Mar 24 15:11:49 ubuntu dstat.sh[65379]: 24-03 15:11:49| 26   4  66   2   0|5105M  216M  185M 2308M|4371B 1610B|   0  8134k|   0   642 |8722    13k|0.88 1.25 1.03|  0 1.0   0|   0     0 |           | 18  310    0   53    0
Mar 24 15:11:50 ubuntu dstat.sh[65379]: 24-03 15:11:50| 26   5  64   2   0|5105M  216M  185M 2308M|4662B 1510B|  32k 3906k|1.00   498 |9049    15k|0.88 1.25 1.03|1.0   0   0|   0     0 |           | 18  310    0   54    0
Mar 24 15:11:51 ubuntu dstat.sh[65379]: 24-03 15:11:51| 24   6  67   1   0|5105M  216M  185M 2309M|4366B 1615B|   0  4131k|   0   303 |7829    12k|0.88 1.25 1.03|1.0   0 1.0|   0     0 |           | 18  310    0   58    0
Mar 24 15:11:52 ubuntu dstat.sh[65379]: 24-03 15:11:52|  6   2  90   1   0|5105M  216M  185M 2309M|4420B 1297B|   0  2454k|   0   229 |2788  4387 |0.88 1.25 1.03|  0   0   0|   0     0 |           | 18  309    0   59    0
Mar 24 15:11:53 ubuntu dstat.sh[65379]: 24-03 15:11:53| 21   5  71   2   0|5105M  215M  185M 2309M|4720B 1247B|   0  3075k|   0   359 |6956    11k|1.13 1.29 1.05|1.0   0   0|   0     0 |           | 18  310    0   59    0
Mar 24 15:11:54 ubuntu dstat.sh[65379]: 24-03 15:11:54| 26   6  64   2   0|5105M  215M  185M 2310M|4575B 1506B|   0    16M|   0  1652 |9471    14k|1.13 1.29 1.05|2.0 1.0 2.0|   0     0 |           | 18  310    0   60    0
Mar 24 15:11:55 ubuntu dstat.sh[65379]: 24-03 15:11:55| 20   5  71   2   0|5106M  214M  185M 2310M|5348B 1568B|   0  4805k|   0   284 |7121    11k|1.13 1.29 1.05|  0   0   0|   0     0 |           | 18  309    0   63    0
Mar 24 15:11:56 ubuntu dstat.sh[65379]: 24-03 15:11:56|  6   1  92   1   0|5106M  214M  185M 2310M|4910B 1300B|   0  1978k|   0   107 |2086  2892 |1.13 1.29 1.05|2.0   0   0|   0     0 |           | 18  310    0   49    0
Mar 24 15:11:57 ubuntu dstat.sh[65379]: 24-03 15:11:57|  9   3  85   1   0|5105M  214M  185M 2310M|2919B  162B|  32k 2266k|1.00   266 |3704  6039 |1.13 1.29 1.05|  0   0   0|   0     0 |           | 18  309    0   50    0
Mar 24 15:11:58 ubuntu dstat.sh[65379]: 24-03 15:11:58| 18   4  75   2   0|5105M  214M  185M 2310M|4805B 1622B|   0  2474k|   0   283 |5984  9055 |1.04 1.27 1.04|2.0   0   0|   0     0 |           | 18  310    0   51    0
Mar 24 15:11:59 ubuntu dstat.sh[65379]: 24-03 15:11:59| 26   5  65   2   0|5104M  215M  185M 2311M|5092B 1617B|   0  8515k|   0   751 |9380    15k|1.04 1.27 1.04|2.0 1.0 1.0|   0     0 |           | 18  310    0   51    0
Mar 24 15:12:00 ubuntu dstat.sh[65379]: 24-03 15:12:00| 24   5  68   1   0|5105M  213M  185M 2311M|5301B 1621B|   0  2906k|   0   237 |7927    12k|1.04 1.27 1.04|1.0   0   0|   0     0 |           | 18  311    0   52    0
Mar 24 15:12:01 ubuntu dstat.sh[65379]: 24-03 15:12:01| 26   6  65   2   0|5105M  213M  185M 2311M|4398B 1458B|   0  4652k|   0   496 |8852    14k|1.04 1.27 1.04|1.0   0   0|   0     0 |           | 18  310    0   52    0
Mar 24 15:12:02 ubuntu dstat.sh[65379]: 24-03 15:12:02| 24   7  66   1   0|5114M  204M  185M 2311M|4923B 1618B|   0  2396k|   0   208 |8425    13k|1.04 1.27 1.04|1.0   0 7.0|   0     0 |           | 18  310    0   53    0
Mar 24 15:12:03 ubuntu dstat.sh[65379]: 24-03 15:12:03| 13   2  83   1   0|5114M  203M  185M 2312M|5020B 1554B| 124k 1394k|7.01   101 |3574  4848 |0.96 1.25 1.04|2.0   0   0|   0     0 |           | 18  311    0   55    0
Mar 24 15:12:04 ubuntu dstat.sh[65379]: 24-03 15:12:04| 26   6  62   3   0|5115M  203M  185M 2312M|3672B  972B|   0  8816k|   0   765 |9171    15k|0.96 1.25 1.04|1.0   0 1.0|   0     0 |           | 18  310    0   52    0
Mar 24 15:12:05 ubuntu dstat.sh[65379]: 24-03 15:12:05| 24   6  67   1   0|5113M  204M  185M 2312M|4076B  863B|   0  3136k|   0   245 |8136    12k|0.96 1.25 1.04|3.0   0   0|   0     0 |           | 18  309    0   53    1
Mar 24 15:12:06 ubuntu dstat.sh[65379]: 24-03 15:12:06| 23   4  68   2   0|5113M  203M  185M 2312M|3612B  972B|   0  2412k|   0   321 |7870    12k|0.96 1.25 1.04|1.0   0   0|   0     0 |           | 18  310    0   56    0
Mar 24 15:12:07 ubuntu dstat.sh[65379]: 24-03 15:12:07| 26   5  65   2   0|5114M  203M  185M 2313M|4190B 1080B|   0  4692k|   0   504 |8892    14k|0.96 1.25 1.04|1.0   0   0|   0     0 |           | 18  310    0   59    0
Mar 24 15:12:08 ubuntu dstat.sh[65379]: 24-03 15:12:08| 24   6  67   1   0|5115M  201M  185M 2313M|3984B 1243B|   0  3206k|   0   272 |8508    13k|0.96 1.25 1.04|1.0   0   0|   0     0 |           | 18  310    0   57    0
Mar 24 15:12:09 ubuntu dstat.sh[65379]: 24-03 15:12:09| 14   4  77   2   0|5115M  201M  185M 2313M|4359B 1563B|   0    16M|   0  1637 |6528  9423 |0.96 1.25 1.04|  0   0   0|   0     0 |           | 18  309    0   64    0
Mar 24 15:12:10 ubuntu dstat.sh[65379]: 24-03 15:12:10| 11   3  85   1   0|5115M  201M  185M 2313M|4795B 1514B|   0  1794k|   0   208 |3340  5181 |0.96 1.25 1.04|  0   0   0|   0     0 |           | 18  309    0   65    0
Mar 24 15:12:11 ubuntu dstat.sh[65379]: 24-03 15:12:11|  5   1  92   0   0|5115M  201M  185M 2313M|4556B 1618B|   0  1746k|   0   222 |2033  2667 |0.96 1.25 1.04|1.0   0 2.0|   0     0 |           | 18  310    0   65    0
Mar 24 15:12:12 ubuntu dstat.sh[65379]: 24-03 15:12:12| 24   5  65   2   0|5115M  201M  185M 2313M|4733B 1618B|   0  3459k|   0   445 |8379    13k|0.96 1.25 1.04|1.0   0   0|   0     0 |           | 18  310    0   65    0
Mar 24 15:12:13 ubuntu dstat.sh[65379]: 24-03 15:12:13| 25   6  64   3   0|5115M  201M  185M 2314M|4750B 1624B|   0  4995k|   0   574 |9143    14k|0.96 1.24 1.04|1.0   0   0|   0     0 |           | 18  310    0   65    0
Mar 24 15:12:14 ubuntu dstat.sh[65379]: 24-03 15:12:14| 25   6  67   1   0|5115M  200M  185M 2314M|5268B 1567B|   0  4490k|   0   337 |7748    12k|0.96 1.24 1.04|1.0   0 2.0|   0     0 |           | 18  310    0   65    0
Mar 24 15:12:15 ubuntu dstat.sh[65379]: 24-03 15:12:15|  8   3  86   1   0|5115M  200M  185M 2314M|6708B 1512B|   0  1988k|   0   218 |3643  5578 |0.96 1.24 1.04|  0   0   0|   0     0 |           | 18  309    0   67    0
Mar 24 15:12:16 ubuntu dstat.sh[65379]: 24-03 15:12:16| 18   4  72   3   0|5115M  200M  185M 2314M|5961B 1623B|   0  8287k|   0   652 |7320    11k|0.96 1.24 1.04|2.0   0   0|   0     0 |           | 18  310    0   66    0
Mar 24 15:12:17 ubuntu dstat.sh[65379]: 24-03 15:12:17| 25   5  64   2   0|5115M  199M  185M 2315M|5091B 1450B|   0  4743k|   0   437 |9019    14k|0.96 1.24 1.04|1.0   0   0|   0     0 |           | 18  310    0   67    0
Mar 24 15:12:18 ubuntu dstat.sh[65379]: 24-03 15:12:18| 26   8  63   1   0|5122M  192M  185M 2315M|5446B 1516B|   0  3289k|   0   344 |7867    16k|0.97 1.24 1.04|  0   0  36|   0     0 |           | 18  309    0   70    0
Mar 24 15:12:19 ubuntu dstat.sh[65379]: 24-03 15:12:19|  5   1  93   1   0|5122M  192M  185M 2315M|5420B 1191B|   0  1620k|   0  91.2 |1924  2725 |0.97 1.24 1.04|1.0   0   0|   0     0 |           | 18  310    0   70    0
Mar 24 15:12:20 ubuntu dstat.sh[65379]: 24-03 15:12:20| 25   5  66   2   0|5122M  192M  185M 2315M|4723B 1026B|   0  3636k|   0   436 |8234    13k|0.97 1.24 1.04|1.0   0   0|   0     0 |           | 18  310    0   64    0
Mar 24 15:12:21 ubuntu dstat.sh[65379]: 24-03 15:12:21| 25   6  66   2   0|5123M  191M  185M 2315M|3790B  971B|   0  3974k|   0   383 |8056    12k|0.97 1.24 1.04|2.0   0   0|   0     0 |           | 18  310    0   65    0
Mar 24 15:12:22 ubuntu dstat.sh[65379]: 24-03 15:12:22| 19   4  72   2   0|5123M  191M  185M 2316M|4577B 1458B|  16k 7710k|1.00   585 |7006    11k|0.97 1.24 1.04|1.0   0 2.0|   0     0 |           | 18  309    0   70    0
Mar 24 15:12:23 ubuntu dstat.sh[65379]: 24-03 15:12:23|  8   1  88   1   0|5123M  191M  185M 2316M|4618B 1619B|   0  2607k|   0   178 |2800  3909 |0.89 1.22 1.03|1.0   0   0|   0     0 |           | 18  310    0   71    0
Mar 24 15:12:24 ubuntu dstat.sh[65379]: 24-03 15:12:24| 25   6  65   2   0|5123M  190M  185M 2316M|4872B 1456B|   0  2645k|   0   368 |8257    13k|0.89 1.22 1.03|1.0   0 1.0|   0     0 |           | 18  310    0   69    0
Mar 24 15:12:25 ubuntu dstat.sh[65379]: 24-03 15:12:25| 25   5  66   1   0|5123M  190M  185M 2316M|4653B 1408B|   0  4556k|   0   254 |8287    12k|0.89 1.22 1.03|1.0   0   0|   0     0 |           | 18  310    0   69    0
Mar 24 15:12:26 ubuntu dstat.sh[65379]: 24-03 15:12:26| 14   3  80   1   0|5124M  189M  185M 2316M|3788B  754B|   0  2291k|   0   224 |4420  6804 |0.89 1.22 1.03|1.0   0   0|   0     0 |           | 18  309    0   70    0
Mar 24 15:12:27 ubuntu dstat.sh[65379]: 24-03 15:12:27| 14   3  79   1   0|5124M  189M  185M 2317M|4925B 1622B|   0  2995k|   0   257 |4820  6997 |0.89 1.22 1.03|2.0   0   0|   0     0 |           | 18  311    0   71    0
Mar 24 15:12:28 ubuntu dstat.sh[65379]: 24-03 15:12:28| 25   5  65   3   0|5124M  188M  185M 2317M|4625B 1762B|   0  8217k|   0   700 |8930    14k|1.14 1.26 1.05|1.0   0   0|   0     0 |           | 18  310    0   68    0
Mar 24 15:12:29 ubuntu dstat.sh[65379]: 24-03 15:12:29| 24   5  67   1   0|5125M  187M  185M 2317M|5103B 1454B|  16k 2684k|1.00   244 |8227    12k|1.14 1.26 1.05|1.0   0   0|   0     0 |           | 18  310    0   70    0
Mar 24 15:12:30 ubuntu dstat.sh[65379]: 24-03 15:12:30| 25   6  65   2   0|5124M  187M  185M 2317M|5742B  540B|   0    11M|   0  1476 |8702    13k|1.14 1.26 1.05|1.0   0   0|   0     0 |           | 18  310    0   70    0
Mar 24 15:12:31 ubuntu dstat.sh[65379]: 24-03 15:12:31| 26   7  64   2   0|5124M  180M  185M 2325M|7798B 1568B|   0  4887k|   0   564 |8276    12k|1.14 1.26 1.05|1.0   0 2.0|   0     0 |           | 18  311    0   70    0
Mar 24 15:12:32 ubuntu dstat.sh[65379]: 24-03 15:12:32|  8   2  87   1   0|5124M  180M  185M 2325M|6556B 1508B|   0  3032k|   0   254 |3361  5128 |1.14 1.26 1.05|  0   0   0|   0     0 |           | 18  309    0   71    0
Mar 24 15:12:33 ubuntu dstat.sh[65379]: 24-03 15:12:33| 18   5  72   3   0|5125M  180M  185M 2325M|5575B 1621B|   0  7731k|   0   616 |6902    11k|1.13 1.26 1.05|1.0   0   0|   0     0 |           | 18  310    0   69    0
Mar 24 15:12:34 ubuntu dstat.sh[65379]: 24-03 15:12:34| 25   6  66   2   0|5125M  179M  185M 2325M|5541B 1459B|   0  3970k|   0   401 |8093    12k|1.13 1.26 1.05|1.0   0 1.0|   0     0 |           | 18  310    0   70    0
Mar 24 15:12:35 ubuntu dstat.sh[65379]: 24-03 15:12:35| 24   5  68   1   0|5126M  178M  185M 2326M|5972B 1404B|   0  2309k|   0   211 |7776    11k|1.13 1.26 1.05|2.0   0   0|   0     0 |           | 18  310    0   71    0
Mar 24 15:12:36 ubuntu dstat.sh[65379]: 24-03 15:12:36| 13   3  80   1   0|5126M  178M  185M 2326M|4067B  699B|  16k 2184k|1.00   221 |4553  6850 |1.13 1.26 1.05|  0   0   0|   0     0 |           | 18  309    0   72    0
Mar 24 15:12:37 ubuntu dstat.sh[65379]: 24-03 15:12:37| 14   3  81   1   0|5126M  178M  185M 2326M|4488B 1518B|  32k 2264k|1.00   221 |4432  6180 |1.13 1.26 1.05|4.0   0   0|   0     0 |           | 18  310    0   72    0
Mar 24 15:12:38 ubuntu dstat.sh[65379]: 24-03 15:12:38| 25   6  64   3   0|5126M  177M  185M 2326M|5022B 1565B|   0  9056k|   0   794 |9298    15k|1.12 1.25 1.05|1.0   0   0|   0     0 |           | 18  310    0   73    0
Mar 24 15:12:39 ubuntu dstat.sh[65379]: 24-03 15:12:39| 27   5  64   2   0|5126M  177M  185M 2327M|5109B 1623B|   0  3278k|   0   392 |8425    13k|1.12 1.25 1.05|1.0   0   0|   0     0 |           | 18  310    0   74    0
Mar 24 15:12:40 ubuntu dstat.sh[65379]: 24-03 15:12:40| 23   6  68   1   0|5126M  176M  185M 2327M|4634B 1135B|   0  2445k|   0   229 |7487    11k|1.12 1.25 1.05|2.0   0   0|   0     0 |           | 18  310    0   74    0
Mar 24 15:12:41 ubuntu dstat.sh[65379]: 24-03 15:12:41|  5   1  91   1   0|5126M  176M  185M 2327M|4194B 1401B|   0  2518k|   0   229 |2597  4140 |1.12 1.25 1.05|  0   0   0|   0     0 |           | 18  309    0   71    0
Mar 24 15:12:42 ubuntu dstat.sh[65379]: 24-03 15:12:42| 22   3  71   2   0|5127M  175M  185M 2327M|4871B 1666B|   0  2803k|   0   271 |6041  8233 |1.12 1.25 1.05|1.0   0   0|   0     0 |           | 18  310    0   72    0
Mar 24 15:12:43 ubuntu dstat.sh[65379]: 24-03 15:12:43| 26   5  64   2   0|5127M  175M  185M 2327M|4384B 1404B|   0  9256k|   0   792 |9469    16k|1.11 1.25 1.05|4.0   0   0|   0     0 |           | 18  310    0   72    0
