Dec 30 07:31:40 jammy-provider-cloud-0000007872 systemd[1]: Started Devstack devstack@dstat.service.
Dec 30 07:31:40 jammy-provider-cloud-0000007872 dstat.sh[58977]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 30 07:31:40 jammy-provider-cloud-0000007872 dstat.sh[58977]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 30 07:44:35 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:35| 12   2  82   1   0|4312M  309M  203M 2913M|  25k   10k|   0  1724k|   0   217 |3192  6203 |0.89 1.08 0.97|2.0   0   0|   0     0 |   0     0 | 18  284    7   91    1
Dec 30 07:44:36 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:36| 17   2  78   2   0|4313M  309M  203M 2913M|6197B 1622B|   0  2082k|   0   263 |3752  7719 |0.89 1.08 0.97|2.0   0   0|   0     0 |   0     0 | 18  285    7   91    1
Dec 30 07:44:37 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:37| 28   4  64   2   0|4313M  309M  203M 2913M|4891B 1624B|   0  3300k|   0   456 |6161    12k|0.90 1.08 0.97|4.0   0   0|   0     0 |   0     0 | 18  286    7   87    1
Dec 30 07:44:38 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:38| 26   5  65   2   0|4313M  307M  203M 2914M|  12k 1788B|   0  9976k|   0   781 |6123    14k|0.90 1.08 0.97|3.0   0   0|   0     0 |   0     0 | 18  285    7   89    1
Dec 30 07:44:39 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:39| 20   3  74   1   0|4314M  307M  203M 2914M|  10k 4519B|   0  3042k|   0   340 |5019  9723 |0.90 1.08 0.97|1.0   0   0|   0     0 |   0     0 | 18  284    7   90    1
Dec 30 07:44:40 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:40| 11   2  86   1   0|4315M  305M  203M 2914M|7545B 1971B|  56k   11M|11.1  1088 |2650  4265 |0.90 1.08 0.97|3.0   0   0|   0     0 |   0     0 | 18  285    7   90    1
Dec 30 07:44:41 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:41| 12   2  84   0   0|4316M  304M  203M 2914M|  24k   10k|   0  1672k|   0   201 |3252  6148 |0.90 1.08 0.97|  0   0 1.0|   0     0 |   0     0 | 18  284    7   86    1
Dec 30 07:44:42 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:42| 21   3  74   2   0|4316M  304M  203M 2914M|4802B 1788B|   0  2124k|   0   289 |4907  9322 |0.91 1.08 0.97|2.0   0   0|   0     0 |   0     0 | 18  286    7   87    1
Dec 30 07:44:43 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:43| 26   5  67   2   0|4317M  303M  203M 2914M|5130B 1624B|   0  3649k|   0   412 |6155    12k|0.91 1.08 0.97|2.0   0   0|   0     0 |   0     0 | 18  285    7   88    1
Dec 30 07:44:44 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:44| 22   3  69   2   0|4318M  301M  203M 2915M|9016B 4456B|   0  7868k|   0   605 |5925    12k|0.91 1.08 0.97|3.0   0   0|   0     0 |   0     0 | 18  284    7   89    1
Dec 30 07:44:45 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:45|  8   2  89   1   0|4318M  301M  203M 2915M|7520B 1651B|   0  1518k|   0   114 |1888  3616 |0.91 1.08 0.97|4.0   0   0|   0     0 |   0     0 | 18  285    7   85    1
Dec 30 07:44:46 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:46|  6   1  92   0   0|4318M  301M  203M 2915M|  19k 8637B|   0   768k|   0  77.0 |1819  3148 |0.91 1.08 0.97|1.0   0   0|   0     0 |   0     0 | 18  284    7   86    1
Dec 30 07:44:47 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:47| 13   3  82   1   0|4319M  300M  203M 2915M|  29k   11k|   0  1265k|   0   146 |3162  5697 |1.08 1.11 0.98|2.0   0   0|   0     0 |   0     0 | 18  284    7   86    1
Dec 30 07:44:48 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:48| 18   4  76   1   0|4318M  300M  203M 2915M|4906B 1801B|   0  1704k|   0   243 |4217  8392 |1.08 1.11 0.98|2.0   0   0|   0     0 |   0     0 | 18  286    7   87    1
Dec 30 07:44:49 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:49| 26   3  66   2   0|4319M  300M  203M 2916M|5630B 1623B|   0  2925k|   0   388 |6019    12k|1.08 1.11 0.98|2.0   0   0|   0     0 |   0     0 | 18  285    7   88    1
Dec 30 07:44:50 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:50| 26   4  65   2   0|4320M  298M  203M 2916M|  21k 8577B|   0  6981k|   0   527 |6188    12k|1.08 1.11 0.98|4.0   0   0|   0     0 |   0     0 | 18  285    7   89    1
Dec 30 07:44:51 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:51|  4   1  91   0   0|4320M  298M  203M 2916M|  12k 4183B|   0  1295k|   0   134 |2052  3876 |1.08 1.11 0.98|1.0   0 1.0|   0     0 |   0     0 | 18  284    7   89    1
Dec 30 07:44:52 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:52| 12   3  84   1   0|4320M  298M  203M 2916M|  26k   11k|   0  1253k|   0   136 |2985  5100 |1.07 1.11 0.98|1.0   0   0|   0     0 |   0     0 | 18  284    7   89    1
Dec 30 07:44:53 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:53| 21   3  73   1   0|4320M  297M  203M 2916M|5794B 1630B|   0  2060k|   0   276 |4904  9493 |1.07 1.11 0.98|2.0   0   0|   0     0 |   0     0 | 18  285    7   91    1
Dec 30 07:44:54 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:54| 30   6  61   2   0|4319M  298M  203M 2917M|  41k 2153B|   0  2911k|   0   341 |6825    14k|1.07 1.11 0.98|1.0   0  34|   0     0 |   0     0 | 18  285    7   95    1
Dec 30 07:44:55 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:55| 26   5  65   1   0|4323M  295M  203M 2917M|5173B 1614B|   0  3606k|   0   301 |4941    12k|1.07 1.11 0.98|2.0   0   0|   0     0 |   0     0 | 18  286    7   93    3
Dec 30 07:44:56 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:56| 28   4  64   2   0|4322M  295M  203M 2917M|5890B 1619B|   0  3079k|   0   401 |5844    12k|1.07 1.11 0.98|3.0   0   0|   0     0 |   0     0 | 18  285    7   97    1
Dec 30 07:44:57 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:57| 25   5  66   2   0|4324M  293M  203M 2918M|8475B 4100B|   0  7628k|   0   620 |6060    13k|1.22 1.14 1.00|  0   0   0|   0     0 |   0     0 | 18  285    7   98    1
Dec 30 07:44:58 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:58|  6   1  91   1   0|4324M  293M  203M 2918M|7829B 1906B|   0  1730k|   0   137 |2028  3586 |1.22 1.14 1.00|1.0   0   0|   0     0 |   0     0 | 18  285    7   89    1
Dec 30 07:44:59 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:44:59|  5   2  92   0   0|4324M  292M  203M 2918M|  10k 4454B|   0  2006k|   0   179 |2266  4253 |1.22 1.14 1.00|2.0   0   0|   0     0 |   0     0 | 18  284    7   90    1
Dec 30 07:45:00 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:00| 14   3  82   1   0|4325M  291M  203M 2918M|  11k 3854B|  32k 9513k|1.01  1087 |3711  5897 |1.22 1.14 1.00|1.0   0   0|   0     0 |   0     0 | 18  284    7   85    1
Dec 30 07:45:01 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:01|  9   3  85   1   0|4325M  291M  203M 2918M|  24k   11k|   0  1329k|   0   150 |2832  5248 |1.22 1.14 1.00|1.0   0 1.0|   0     0 |   0     0 | 18  284    7   85    1
Dec 30 07:45:02 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:02| 11   3  85   1   0|4325M  291M  203M 2918M|6739B 1789B|   0  1469k|   0   167 |3026  6029 |1.13 1.12 0.99|3.0   0   0|   0     0 |   0     0 | 18  287    7   84    1
Dec 30 07:45:03 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:03| 28   4  64   2   0|4325M  290M  203M 2918M|5799B 1873B|   0  3375k|   0   456 |5872    12k|1.13 1.12 0.99|1.0   0   0|   0     0 |   0     0 | 18  285    7   88    1
Dec 30 07:45:04 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:04| 26   5  66   2   0|4327M  289M  203M 2919M|5604B 1505B|   0  8321k|   0   550 |5994    14k|1.13 1.12 0.99|3.0   0   0|   0     0 |   0     0 | 18  286    7   88    1
Dec 30 07:45:05 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:05| 11   3  83   1   0|4327M  288M  203M 2919M|  10k 4668B|  16k 1695k|1.00   210 |3616  7028 |1.13 1.12 0.99|2.0   0   0|   0     0 |   0     0 | 18  284    7   89    1
Dec 30 07:45:06 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:06| 10   2  85   1   0|4327M  288M  203M 2919M|  24k   10k|   0  1871k|   0   165 |2874  5125 |1.13 1.12 0.99|2.0   0   0|   0     0 |   0     0 | 18  284    7   89    1
Dec 30 07:45:07 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:07| 17   3  77   1   0|4327M  288M  203M 2919M|  22k 8525B|   0  2077k|   0   245 |4201  8108 |1.20 1.14 1.00|1.0   0   0|   0     0 |   0     0 | 18  285    7   89    1
Dec 30 07:45:08 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:08| 28   4  64   2   0|4327M  287M  203M 2920M|  12k 1776B|  32k 3648k|0.99   485 |5911    12k|1.20 1.14 1.00|5.0   0   0|   0     0 |   0     0 | 18  285    7   93    1
Dec 30 07:45:09 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:09| 28   4  65   2   0|4328M  286M  203M 2920M|5554B 1970B|   0  8057k|   0   684 |6664    13k|1.20 1.14 1.00|2.0   0   0|   0     0 |   0     0 | 18  285    7   95    1
Dec 30 07:45:10 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:10| 25   3  69   1   0|4329M  285M  203M 2920M|9212B 4361B|   0  4426k|   0   424 |5310    11k|1.20 1.14 1.00|3.0   0   0|   0     0 |   0     0 | 18  284    7   95    1
Dec 30 07:45:11 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:11|  9   2  87   1   0|4329M  285M  203M 2920M|4703B 1852B|   0  2345k|   0   158 |2489  4642 |1.20 1.14 1.00|3.0   0 1.0|   0     0 |   0     0 | 18  285    7   95    1
Dec 30 07:45:12 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:12|  4   1  92   0   0|4329M  285M  203M 2921M|  21k 8423B|   0  1189k|   0   103 |1737  3084 |1.10 1.12 0.99|1.0   0   0|   0     0 |   0     0 | 18  284    7   93    1
Dec 30 07:45:13 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:13| 12   3  84   1   0|4329M  284M  203M 2921M|  24k   11k|   0  1258k|   0   130 |2795  5126 |1.10 1.12 0.99|1.0   0   0|   0     0 |   0     0 | 18  284    7   93    1
Dec 30 07:45:14 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:14| 20   3  74   2   0|4331M  283M  203M 2921M|6224B 1568B|   0  1806k|   0   193 |3991  8022 |1.10 1.12 0.99|2.0   0   0|   0     0 |   0     0 | 18  285    7   94    1
Dec 30 07:45:15 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:15| 26   4  64   2   0|4331M  282M  203M 2921M|7378B 1910B|   0  3112k|   0   433 |5645    12k|1.10 1.12 0.99|2.0   0   0|   0     0 |   0     0 | 18  286    7   98    1
Dec 30 07:45:16 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:16| 26   6  64   1   0|4332M  280M  203M 2921M|5454B 1658B|  16k 7103k|1.00   546 |6357    14k|1.10 1.12 0.99|2.0   0   0|   0     0 |   0     0 | 18  285    7   91    1
Dec 30 07:45:17 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:17| 28   4  64   1   0|4334M  278M  203M 2922M|6582B 1613B|   0  2808k|   0   315 |5768    12k|1.17 1.13 1.00|6.0   0   0|   0     0 |   0     0 | 18  286    7   95    1
Dec 30 07:45:18 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:18| 28   5  65   1   0|4335M  277M  203M 2922M|4968B 1824B|   0  3090k|   0   392 |5870    12k|1.17 1.13 1.00|2.0   0   0|   0     0 |   0     0 | 18  285    7   98    1
Dec 30 07:45:19 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:19| 27   4  67   1   0|4336M  275M  203M 2922M|5002B 2004B|   0  2090k|   0   184 |5210    10k|1.17 1.13 1.00|2.0   0   0|   0     0 |   0     0 | 18  285    7   98    1
Dec 30 07:45:20 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:20| 26   4  66   2   0|4336M  275M  203M 2923M|5860B 1570B|   0  3429k|   0   455 |6163    13k|1.17 1.13 1.00|2.0   0   0|   0     0 |   0     0 | 18  286    7   94    1
Dec 30 07:45:21 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:21| 26   5  67   1   0|4337M  274M  203M 2923M|5304B 1788B|   0    16M|   0  1640 |6331    12k|1.17 1.13 1.00|  0 1.0 1.0|   0     0 |   0     0 | 18  285    7   95    1
Dec 30 07:45:22 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:22| 25   4  67   1   0|4337M  274M  203M 2923M|5160B 1610B|   0  2520k|   0   189 |5326    10k|1.16 1.13 1.00|2.0   0   0|   0     0 |   0     0 | 18  287    7   92    1
Dec 30 07:45:23 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:23| 27   5  64   2   0|4337M  273M  203M 2924M|7523B 1777B|   0  3033k|   0   467 |5814    12k|1.16 1.13 1.00|2.0   0   0|   0     0 |   0     0 | 18  285    7   97    1
Dec 30 07:45:24 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:24| 26   4  68   1   0|4339M  272M  203M 2924M|  41k 1529B|   0  1990k|   0   177 |4987  9958 |1.16 1.13 1.00|1.0   0   0|   0     0 |   0     0 | 18  285    7   95    1
Dec 30 07:45:25 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:25| 12   1  85   1   0|4338M  272M  203M 2924M|  11k 4486B|   0  2323k|   0   220 |3078  5799 |1.16 1.13 1.00|1.0   0   0|   0     0 |   0     0 | 18  284    7   97    1
Dec 30 07:45:26 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:26| 14   3  81   1   0|4339M  271M  203M 2924M|9957B 4352B|  16k 1873k|1.00   204 |3106  5937 |1.16 1.13 1.00|1.0   0   0|   0     0 |   0     0 | 18  284    7   92    1
Dec 30 07:45:27 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:27| 14   3  80   1   0|4341M  269M  203M 2924M|  10k 4595B|   0  2466k|   0   230 |3274  5853 |1.15 1.13 1.00|1.0   0 1.0|   0     0 |   0     0 | 18  284    8   94    1
Dec 30 07:45:28 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:28| 13   2  83   1   0|4341M  269M  203M 2924M|7309B 1780B|   0  1645k|   0   160 |2690  5160 |1.15 1.13 1.00|2.0   0   0|   0     0 |   0     0 | 18  284    8   91    1
Dec 30 07:45:29 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:29|  5   1  90   1   0|4341M  269M  203M 2924M|9744B 4482B|   0  6659k|   0   415 |2507  4778 |1.15 1.13 1.00|3.0   0   0|   0     0 |   0     0 | 18  285    8   91    1
Dec 30 07:45:30 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:30| 14   3  80   0   0|4342M  268M  203M 2925M|  43k   19k|   0  1688k|   0   210 |3521  6510 |1.15 1.13 1.00|1.0   0   0|   0     0 |   0     0 | 18  284    8   88    1
Dec 30 07:45:31 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:31| 11   2  83   1   0|4342M  268M  203M 2925M|  24k   11k|   0  6475k|   0   746 |2936  5144 |1.15 1.13 1.00|2.0   0 1.0|   0     0 |   0     0 | 18  284    8   91    1
Dec 30 07:45:32 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:32| 11   1  85   1   0|4342M  268M  203M 2925M|  24k   10k|   0  1237k|   0   139 |2564  4554 |1.13 1.12 1.00|1.0   0   0|   0     0 |   0     0 | 18  284    8   92    1
Dec 30 07:45:33 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:33| 13   3  83   1   0|4342M  267M  203M 2925M|5869B 1839B|   0  1129k|   0   114 |2943  5825 |1.13 1.12 1.00|3.0   0   0|   0     0 |   0     0 | 18  286    8   94    1
Dec 30 07:45:34 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:34| 28   4  65   2   0|4342M  267M  203M 2925M|5516B 1615B|   0  2923k|   0   414 |5680    11k|1.13 1.12 1.00|2.0   0   0|   0     0 |   0     0 | 18  285    8   97    1
Dec 30 07:45:35 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:35| 25   4  68   1   0|4343M  266M  203M 2925M|7538B 1792B|   0  2818k|   0   213 |5017    10k|1.13 1.12 1.00|7.0   0   0|   0     0 |   0     0 | 18  286    8  101    1
Dec 30 07:45:36 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:36| 26   5  67   2   0|4343M  265M  203M 2926M|5955B 1461B|   0  2413k|   0   270 |5229    10k|1.13 1.12 1.00|1.0 1.0   0|   0     0 |   0     0 | 18  285    8  108    1
Dec 30 07:45:37 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:37| 27   4  65   2   0|4344M  265M  203M 2926M|5240B 1617B|   0  7668k|   0   615 |6258    13k|1.52 1.21 1.03|2.0   0   0|   0     0 |   0     0 | 18  285    8  112    1
Dec 30 07:45:38 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:38| 14   2  80   1   0|4344M  264M  203M 2926M|  16k 4326B|   0  1889k|   0   204 |3663  6951 |1.52 1.21 1.03|1.0   0   0|   0     0 |   0     0 | 18  284    8  110    1
Dec 30 07:45:39 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:39|  9   3  87   1   0|4344M  264M  203M 2926M|  10k 4453B|   0  1839k|   0   189 |2560  4665 |1.52 1.21 1.03|1.0   0   0|   0     0 |   0     0 | 18  284    8  110    1
Dec 30 07:45:40 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:40| 13   2  82   1   0|4344M  264M  203M 2926M|6338B 1667B|   0  2074k|   0   234 |2860  5403 |1.52 1.21 1.03|2.0   0   0|   0     0 |   0     0 | 18  285    8  111    1
Dec 30 07:45:41 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:41|  6   1  91   0   0|4344M  263M  203M 2927M|9947B 3818B|   0  1575k|   0   145 |2189  3988 |1.52 1.21 1.03|1.0   0 1.0|   0     0 |   0     0 | 18  284    8  111    1
Dec 30 07:45:42 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:42| 10   2  86   1   0|4344M  263M  203M 2927M|  25k   10k|   0  1296k|   0   131 |2526  4512 |1.40 1.19 1.02|2.0   0   0|   0     0 |   0     0 | 18  284    8  112    1
Dec 30 07:45:43 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:43| 22   3  71   1   0|4345M  263M  203M 2927M|4634B 1810B|   0  2401k|   0   293 |4554  8822 |1.40 1.19 1.02|2.0   0   0|   0     0 |   0     0 | 18  285    8  112    1
Dec 30 07:45:44 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:44| 25   4  67   1   0|4345M  262M  203M 2927M|7494B 1618B|   0  3053k|   0   309 |5548    11k|1.40 1.19 1.02|5.0   0   0|   0     0 |   0     0 | 18  286    8  114    1
Dec 30 07:45:45 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:45| 24   3  67   2   0|4346M  261M  203M 2927M|8397B 1787B|   0  7137k|   0   517 |5739    12k|1.40 1.19 1.02|4.0   0   0|   0     0 |   0     0 | 18  285    8  112    1
Dec 30 07:45:46 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:46| 18   4  76   1   0|4346M  260M  203M 2928M|9885B 4326B|   0  2891k|   0   281 |4211  8741 |1.40 1.19 1.02|1.0   0   0|   0     0 |   0     0 | 18  284    8  113    1
Dec 30 07:45:47 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:47| 13   2  82   1   0|4346M  260M  203M 2928M|  24k   10k|   0  9855k|   0   990 |3052  5253 |1.37 1.18 1.02|3.0   0   0|   0     0 |   0     0 | 18  284    8  112    1
Dec 30 07:45:48 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:48|  6   3  88   0   0|4346M  260M  203M 2928M|4807B 1696B|   0  1030k|   0  75.6 |1995  4020 |1.37 1.18 1.02|3.0   0   0|   0     0 |   0     0 | 18  285    8  112    1
Dec 30 07:45:49 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:49| 26   4  65   2   0|4347M  259M  203M 2928M|5293B 1460B|   0  3269k|   0   446 |5795    12k|1.37 1.18 1.02|2.0   0   0|   0     0 |   0     0 | 18  286    8  114    1
Dec 30 07:45:50 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:50| 27   5  67   1   0|4349M  257M  203M 2928M|  23k   11k|   0  2520k|   0   273 |5389    11k|1.37 1.18 1.02|2.0   0   0|   0     0 |   0     0 | 18  285    8  116    1
Dec 30 07:45:51 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:51|  7   2  89   1   0|4349M  256M  203M 2928M|9191B 1795B|   0  7195k|   0   497 |2965  5703 |1.37 1.18 1.02|2.0   0 1.0|   0     0 |   0     0 | 18  285    8  113    1
Dec 30 07:45:52 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:52|  7   2  91   1   0|4349M  256M  203M 2928M|  12k 4284B|   0  1332k|   0   158 |2363  4314 |1.26 1.16 1.01|1.0   0   0|   0     0 |   0     0 | 18  284    8  113    1
Dec 30 07:45:53 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:53|  8   2  89   1   0|4349M  256M  203M 2928M|  12k 4452B|   0  1136k|   0   127 |2433  4304 |1.26 1.16 1.01|1.0   0   0|   0     0 |   0     0 | 18  284    8  113    1
Dec 30 07:45:54 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:54| 13   5  80   1   0|4355M  250M  203M 2929M|  52k 8172B|   0  1452k|   0   174 |3194  7124 |1.26 1.16 1.01|1.0   0  34|   0     0 |   0     0 | 18  285    8  114    1
Dec 30 07:45:55 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:55|  7   1  89   1   0|4355M  250M  203M 2929M|  21k 8486B|   0  1212k|   0   117 |2227  3869 |1.26 1.16 1.01|1.0   0   0|   0     0 |   0     0 | 18  284    8  107    1
Dec 30 07:45:56 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:56| 15   2  81   1   0|4355M  250M  203M 2929M|  11k 4349B|   0  1549k|   0   182 |2889  5483 |1.26 1.16 1.01|2.0   0   0|   0     0 |   0     0 | 18  284    8  108    1
Dec 30 07:45:57 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:57|  9   2  86   1   0|4355M  250M  203M 2929M|9495B 4319B|   0  1851k|   0   156 |2505  4542 |1.16 1.14 1.01|1.0   0 3.0|   0     0 |   0     0 | 18  284    8  103    1
Dec 30 07:45:58 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:58|  5   2  93   0   0|4355M  250M  203M 2929M|9200B 1611B|   0   875k|   0  70.6 |1608  2833 |1.16 1.14 1.01|2.0   0   0|   0     0 |   0     0 | 18  285    8  103    1
Dec 30 07:45:59 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:45:59| 11   1  84   1   0|4355M  250M  203M 2929M|9787B 4407B|   0  1495k|   0   170 |2784  5711 |1.16 1.14 1.01|2.0   0   0|   0     0 |   0     0 | 18  284    8  102    1
Dec 30 07:46:00 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:46:00| 12   2  85   1   0|4355M  249M  203M 2929M|  45k   19k|   0  1258k|   0   124 |2498  4427 |1.16 1.14 1.01|  0   0   0|   0     0 |   0     0 | 18  285    8  103    1
Dec 30 07:46:01 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:46:01|  4   0  93   0   0|4355M  249M  203M 2929M|8065B 3592B|   0   859k|   0  63.7 |1520  2712 |1.16 1.14 1.01|1.0   0 1.0|   0     0 |   0     0 | 18  286    8  102    1
Dec 30 07:46:02 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:46:02|  4   2  93   0   0|4355M  249M  203M 2929M|  22k 7657B|   0   799k|   0  55.2 |1477  2533 |1.07 1.12 1.00|1.0   0   0|   0     0 |   0     0 | 18  286    8  102    1
Dec 30 07:46:03 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:46:03|  5   1  91   0   0|4355M  249M  203M 2930M|  24k   12k|   0   890k|   0  91.8 |1786  3282 |1.07 1.12 1.00|3.0   0   0|   0     0 |   0     0 | 18  285    8  101    1
Dec 30 07:46:04 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:46:04| 12   3  82   1   0|4355M  249M  203M 2930M|  40k   17k|   0  1774k|   0   226 |3141  6222 |1.07 1.12 1.00|2.0   0   0|   0     0 |   0     0 | 18  284    8  103    1
Dec 30 07:46:05 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:46:05| 10   3  85   2   0|4355M  249M  203M 2930M|6362B 1631B|   0  6577k|   0   430 |3040  6926 |1.07 1.12 1.00|2.0   0   0|   0     0 |   0     0 | 18  286    8  101    1
Dec 30 07:46:06 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:46:06| 27   4  68   1   0|4356M  248M  203M 2930M|5838B 1624B|   0  2570k|   0   288 |5393    11k|1.07 1.12 1.00|2.0   0   0|   0     0 |   0     0 | 18  285    8  103    1
Dec 30 07:46:07 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:46:07| 10   2  85   1   0|4356M  248M  203M 2930M|  25k   11k|   0  8391k|   0   989 |3553  6028 |0.98 1.10 1.00|1.0   0   0|   0     0 |   0     0 | 18  284    8  104    1
